SECURITY_ID,SYMBOL
500002,BSE:ABB-A
500003,BSE:AEGISLOG-A
500008,BSE:ARE&M-A
500010,HDFC        
500013,BSE:ANSALAPI-Z
500020,BSE:BOMDYEING-A
500023,BSE:ASIANHOTNR-B
500024,ASSAMCO     
500027,BSE:ATUL-A
500029,AUTOLITE(I) 
500030,AUTORID.FIN 
500031,BSE:BAJAJELEC-A
500032,BSE:BAJAJHIND-A
500033,BSE:FORCEMOT-A
500034,BSE:BAJFINANCE-A
500038,BSE:BALRAMCHIN-A
500039,BSE:BANCOINDIA-A
500040,BSE:ABREL-A
500041,BSE:BANARISUG-B
500042,BSE:BASF-A
500043,BSE:BATAINDIA-A
500048,BSE:BEML-A
500049,BSE:BEL-A
500052,BSE:BEPL-B
500055,BHUSH STEEL 
500059,BSE:BILVYAPAR-T
500060,BSE:BIRLACABLE-B
500067,BSE:BLUESTARCO-A
500074,BSE:BPL-B
500083,BSE:CENTEXT-B
500084,BSE:CESC-A
500085,BSE:CHAMBLFERT-A
500086,BSE:EXIDEIND-A
500087,BSE:CIPLA-A
500089,BSE:DICIND-B
500092,BSE:CRISIL-A
500093,BSE:CGPOWER-A
500096,BSE:DABUR-A
500097,BSE:DALMIASUG-B
500101,BSE:ARVIND-A
500102,BALARPUR IND
500103,BSE:BHEL-A
500104,BSE:HINDPETRO-A
500106,BSE:IFCI-A
500108,BSE:MTNL-B
500109,BSE:MRPL-A
500110,BSE:CHENNPETRO-A
500111,REL.CAP.    
500112,BSE:SBIN-A
500113,BSE:SAIL-A
500114,BSE:TITAN-A
500116,BSE:IDBI-A
500117,BSE:DCW-B
500119,BSE:DHAMPURSUG-B
500123,BSE:ELANTAS-B
500124,BSE:DRREDDY-A
500125,BSE:EIDPARRY-A
500126,BSE:PGHL-A
500128,BSE:ELECTCAST-A
500133,BSE:ESABINDIA-A
500135,BSE:EPL-A
500136,BSE:ESTER-B
500139,FEDDER.LLYOD
500144,BSE:FINCABLES-A
500148,BSE:UFLEX-B
500150,BSE:FOSECOIND-B
500155,GARDEN SILK 
500160,BSE:GTL-B
500162,PARRYSUGR   
500163,BSE:GODFRYPHLP-A
500164,BSE:GODREJIND-A
500165,BSE:KANSAINER-A
500168,BSE:GOODYEAR-B
500170,BSE:GTNINDS-X
500171,BSE:GHCL-A
500173,BSE:GFLLIMITED-B
500179,BSE:HCL-INSYS-B
500180,BSE:HDFCBANK-A
500182,BSE:HEROMOTOCO-A
500183,BSE:HFCL-A
500184,BSE:HSCL-A
500185,BSE:HCC-A
500186,BSE:HINDOILEXP-B
500187,BSE:AGI-A
500188,BSE:HINDZINC-A
500189,BSE:NDLVENTURE-B
500193,BSE:HLVLTD-B
500199,BSE:IGPL-B
500201,BSE:INDIAGLYCO-B
500207,BSE:INDORAMA-B
500209,BSE:INFY-A
500210,BSE:INGERRAND-A
500215,BSE:SUNDROP-B
500219,BSE:JISLJALEQS-A
500227,BSE:JINDALPOLY-B
500228,BSE:JSWSTEEL-A
500231,UMANG DAIR  
500233,BSE:KAJARIACER-A
500234,BSE:KAKATCEM-B
500235,BSE:KSL-B
500238,BSE:WHIRLPOOL-A
500241,BSE:KIRLOSBROS-A
500243,BSE:KIRLOSIND-B
500247,BSE:KOTAKBANK-A
500249,BSE:KSB-A
500250,BSE:LGBBROSLTD-B
500251,BSE:TRENT-A
500252,BSE:LMW-A
500253,BSE:LICHSGFIN-A
500255,LML LTD.    
500257,BSE:LUPIN-A
500259,BSE:LYKALABS-B
500260,BSE:RAMCOCEM-A
500265,BSE:MAHSEAMLES-A
500266,BSE:MAHSCOOTER-A
500268,BSE:MANALIPETC-B
500271,BSE:MFSL-A
500279,BSE:MIRCELECTR-B
500280,BSE:CENTENKA-B
500285,BSE:SPICEJET-A
500288,BSE:MOREPENLAB-A
500290,BSE:MRF-A
500292,BSE:HEIDELBERG-B
500294,BSE:NCC-A
500295,BSE:VEDL-A
500296,BSE:NAHARSPING-B
500300,BSE:GRASIM-A
500302,PEL         
500303,ADI BIR NUVO
500304,BSE:NIITLTD-B
500307,BSE:NIRLON-B
500312,BSE:ONGC-A
500313,BSE:OILCOUNTUB-B
500314,BSE:ORIENTHOT-B
500315,ORINTAL BANK
500317,BSE:OSWALAGRO-B
